DATE,LIKE,HAHA,LOVE,WOW,CARE,ANGRY,SAD
2020-12-24,199.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-12-28,1257.0,0.0,14.0,4.0,1.0,0.0,0.0
2020-12-29,3158.0,21.0,21.0,3.0,2.0,0.0,2.0
2020-12-30,9667.0,541.0,55.0,309.0,10.0,0.0,13.0
2020-12-31,14999.0,676.0,210.0,63.0,26.0,29.0,12.0
2021-01-01,17495.0,175.0,112.0,125.0,9.0,24.0,5.0
2021-01-02,8691.0,291.0,73.0,79.0,14.0,7.0,13.0
2021-01-03,4966.0,142.0,36.0,103.0,6.0,2.0,12.0
2021-01-04,26925.0,2680.0,176.0,278.0,44.0,9.0,41.0
2021-01-05,9681.0,617.0,37.0,132.0,6.0,11.0,4.0
2021-01-06,15817.0,1007.0,83.0,141.0,18.0,9.0,5.0
2021-01-07,25053.0,2221.0,109.0,133.0,43.0,39.0,27.0
2021-01-08,15328.0,354.0,156.0,125.0,29.0,18.0,60.0
2021-01-09,6458.0,127.0,47.0,51.0,6.0,49.0,7.0
2021-01-10,9468.0,331.0,29.0,276.0,8.0,39.0,302.0
2021-01-11,27169.0,3089.0,160.0,173.0,44.0,38.0,29.0
2021-01-12,12173.0,908.0,100.0,110.0,50.0,16.0,11.0
2021-01-13,19001.0,267.0,123.0,184.0,24.0,8.0,8.0
2021-01-14,16756.0,205.0,71.0,489.0,18.0,13.0,24.0
2021-01-15,14116.0,266.0,222.0,94.0,18.0,23.0,13.0
2021-01-16,5930.0,870.0,33.0,82.0,12.0,3.0,8.0
2021-01-17,10187.0,499.0,113.0,76.0,37.0,10.0,42.0
2021-01-18,20778.0,363.0,120.0,125.0,30.0,7.0,5.0
2021-01-19,11177.0,844.0,50.0,210.0,108.0,33.0,43.0
2021-01-20,18377.0,1149.0,157.0,170.0,55.0,60.0,36.0
2021-01-21,13624.0,513.0,103.0,143.0,413.0,11.0,55.0
2021-01-22,13062.0,319.0,110.0,88.0,66.0,14.0,12.0
2021-01-23,17368.0,1641.0,73.0,429.0,26.0,8.0,10.0
2021-01-24,11745.0,298.0,67.0,222.0,78.0,267.0,52.0
2021-01-25,23979.0,1881.0,172.0,241.0,60.0,152.0,77.0
2021-01-26,23479.0,1773.0,120.0,243.0,70.0,21.0,24.0
2021-01-27,14955.0,1185.0,135.0,307.0,87.0,68.0,26.0
2021-01-28,27539.0,1493.0,85.0,281.0,53.0,56.0,41.0
2021-01-29,28771.0,2322.0,179.0,177.0,40.0,23.0,26.0
2021-01-30,5071.0,260.0,28.0,82.0,13.0,11.0,13.0
2021-01-31,16102.0,262.0,71.0,403.0,19.0,62.0,26.0
2021-02-01,11611.0,391.0,113.0,92.0,32.0,25.0,7.0
2021-02-02,15066.0,1746.0,102.0,215.0,28.0,16.0,62.0
2021-02-03,15051.0,255.0,80.0,76.0,22.0,11.0,6.0
2021-02-04,10926.0,439.0,71.0,138.0,22.0,16.0,22.0
2021-02-05,26544.0,1694.0,164.0,111.0,86.0,13.0,96.0
2021-02-06,8488.0,195.0,91.0,36.0,33.0,7.0,9.0
2021-02-07,3277.0,50.0,37.0,15.0,9.0,10.0,9.0
2021-02-08,26791.0,2619.0,103.0,404.0,33.0,8.0,53.0
2021-02-09,19038.0,1498.0,124.0,270.0,68.0,18.0,101.0
2021-02-10,25855.0,272.0,271.0,222.0,42.0,32.0,15.0
2021-02-11,17075.0,2853.0,105.0,42.0,35.0,14.0,3.0
2021-02-12,9988.0,72.0,65.0,139.0,9.0,15.0,3.0
2021-02-13,14678.0,317.0,136.0,52.0,110.0,15.0,7.0
2021-02-14,20644.0,821.0,141.0,101.0,27.0,52.0,4.0
2021-02-15,4765.0,45.0,57.0,70.0,10.0,3.0,40.0
2021-02-16,15504.0,313.0,116.0,42.0,23.0,13.0,21.0
2021-02-17,18408.0,206.0,204.0,67.0,25.0,13.0,14.0
2021-02-18,15358.0,445.0,108.0,414.0,33.0,25.0,95.0
2021-02-19,18076.0,1805.0,246.0,120.0,31.0,33.0,25.0
2021-02-20,17815.0,905.0,102.0,199.0,33.0,33.0,13.0
2021-02-21,13779.0,490.0,69.0,118.0,22.0,28.0,76.0
2021-02-22,33178.0,3640.0,220.0,218.0,94.0,16.0,210.0
2021-02-23,17281.0,1714.0,169.0,454.0,48.0,30.0,402.0
2021-02-24,15829.0,527.0,180.0,195.0,26.0,50.0,29.0
2021-02-25,13659.0,503.0,131.0,137.0,19.0,22.0,150.0
2021-02-26,50786.0,7354.0,378.0,459.0,123.0,58.0,547.0
2021-02-27,8448.0,250.0,97.0,60.0,15.0,22.0,60.0
2021-02-28,9906.0,306.0,80.0,119.0,15.0,3.0,12.0
2021-03-01,13078.0,322.0,206.0,592.0,29.0,15.0,6.0
2021-03-02,20844.0,863.0,92.0,540.0,29.0,222.0,24.0
2021-03-03,13948.0,593.0,141.0,120.0,42.0,30.0,23.0
2021-03-04,22040.0,978.0,208.0,304.0,52.0,83.0,64.0
2021-03-05,20792.0,2627.0,214.0,254.0,46.0,52.0,184.0
2021-03-06,9689.0,410.0,97.0,85.0,30.0,11.0,21.0
2021-03-07,12940.0,824.0,73.0,95.0,20.0,7.0,51.0
2021-03-08,27023.0,624.0,400.0,440.0,74.0,15.0,847.0
2021-03-09,16333.0,1574.0,192.0,212.0,42.0,41.0,85.0
2021-03-10,10741.0,332.0,130.0,79.0,33.0,285.0,21.0
2021-03-11,12597.0,311.0,103.0,101.0,24.0,21.0,14.0
2021-03-12,13335.0,1324.0,191.0,566.0,50.0,118.0,168.0
2021-03-13,5488.0,626.0,59.0,53.0,20.0,5.0,22.0
2021-03-14,8199.0,461.0,67.0,111.0,21.0,43.0,14.0
2021-03-15,14458.0,1502.0,122.0,334.0,22.0,25.0,67.0
2021-03-16,18086.0,2290.0,101.0,279.0,30.0,117.0,53.0
2021-03-17,8603.0,187.0,116.0,68.0,10.0,24.0,8.0
2021-03-18,30010.0,1670.0,3319.0,264.0,570.0,55.0,100.0
2021-03-19,20133.0,831.0,207.0,164.0,47.0,27.0,18.0
2021-03-20,11870.0,294.0,98.0,289.0,26.0,13.0,51.0
2021-03-21,14626.0,538.0,83.0,113.0,17.0,24.0,3.0
2021-03-22,22604.0,1708.0,146.0,199.0,89.0,29.0,78.0
2021-03-23,13078.0,1084.0,338.0,391.0,50.0,32.0,32.0
2021-03-24,20751.0,4018.0,140.0,232.0,38.0,33.0,89.0
2021-03-25,40747.0,6439.0,324.0,335.0,273.0,36.0,50.0
2021-03-26,18589.0,1809.0,260.0,459.0,40.0,43.0,18.0
2021-03-27,11576.0,1089.0,64.0,98.0,36.0,5.0,11.0
2021-03-28,5025.0,874.0,26.0,36.0,8.0,18.0,0.0
2021-03-29,17811.0,309.0,106.0,234.0,21.0,22.0,8.0
2021-03-30,25068.0,1019.0,83.0,93.0,28.0,9.0,19.0
2021-03-31,9941.0,1231.0,47.0,93.0,10.0,8.0,19.0
2021-04-01,5747.0,80.0,96.0,85.0,20.0,15.0,23.0
2021-04-02,24996.0,632.0,115.0,139.0,43.0,12.0,69.0
2021-04-03,3769.0,69.0,40.0,33.0,8.0,18.0,18.0
2021-04-04,8929.0,1721.0,100.0,651.0,27.0,14.0,58.0
2021-04-05,11155.0,700.0,42.0,88.0,17.0,2.0,8.0
2021-04-06,23188.0,699.0,79.0,83.0,17.0,9.0,17.0
2021-04-07,9812.0,517.0,49.0,60.0,17.0,6.0,45.0
2021-04-08,14193.0,424.0,99.0,114.0,17.0,20.0,31.0
2021-04-09,17578.0,1498.0,95.0,167.0,20.0,5.0,15.0
2021-04-10,9964.0,770.0,54.0,167.0,16.0,5.0,7.0
2021-04-11,10751.0,2974.0,42.0,112.0,24.0,2.0,18.0
2021-04-12,17376.0,516.0,70.0,148.0,23.0,45.0,17.0
2021-04-13,11939.0,953.0,52.0,107.0,21.0,8.0,75.0
2021-04-14,14665.0,440.0,130.0,165.0,21.0,34.0,29.0
2021-04-15,15005.0,291.0,78.0,242.0,20.0,10.0,56.0
2021-04-16,13792.0,1413.0,107.0,145.0,21.0,6.0,8.0
2021-04-17,6013.0,145.0,48.0,49.0,2.0,6.0,8.0
2021-04-18,9933.0,796.0,31.0,219.0,12.0,4.0,23.0
2021-04-19,32513.0,1139.0,134.0,237.0,32.0,8.0,12.0
2021-04-20,17266.0,267.0,92.0,211.0,30.0,5.0,101.0
2021-04-21,19367.0,2053.0,95.0,444.0,48.0,4.0,58.0
2021-04-22,22294.0,1997.0,49.0,174.0,20.0,3.0,52.0
2021-04-23,9789.0,280.0,100.0,97.0,16.0,21.0,8.0
2021-04-24,10409.0,1122.0,47.0,54.0,10.0,2.0,5.0
2021-04-25,10951.0,237.0,77.0,28.0,29.0,4.0,1.0
2021-04-26,12164.0,1808.0,51.0,174.0,24.0,35.0,23.0
2021-04-27,19114.0,287.0,193.0,86.0,65.0,22.0,11.0
2021-04-28,19437.0,514.0,69.0,143.0,32.0,5.0,15.0
2021-04-29,16352.0,892.0,73.0,206.0,26.0,3.0,10.0
2021-04-30,4463.0,82.0,45.0,34.0,14.0,3.0,3.0
2021-05-01,10688.0,431.0,62.0,179.0,11.0,16.0,46.0
2021-05-02,6483.0,128.0,42.0,75.0,8.0,3.0,6.0
2021-05-03,20962.0,657.0,49.0,211.0,23.0,13.0,87.0
2021-05-04,16899.0,1343.0,69.0,359.0,26.0,58.0,43.0
2021-05-05,22081.0,252.0,169.0,132.0,34.0,152.0,27.0
2021-05-06,20495.0,511.0,166.0,188.0,44.0,254.0,12.0
2021-05-07,14110.0,663.0,120.0,517.0,28.0,27.0,40.0
2021-05-08,4906.0,473.0,36.0,102.0,11.0,4.0,7.0
2021-05-09,9432.0,792.0,108.0,403.0,29.0,15.0,35.0
2021-05-10,14937.0,532.0,82.0,157.0,15.0,16.0,24.0
2021-05-11,34571.0,6751.0,140.0,770.0,80.0,36.0,201.0
2021-05-12,18708.0,2839.0,80.0,263.0,51.0,19.0,91.0
2021-05-13,23212.0,2631.0,73.0,513.0,93.0,58.0,108.0
2021-05-14,33886.0,1912.0,92.0,824.0,76.0,16.0,121.0
2021-05-15,15311.0,550.0,85.0,386.0,194.0,40.0,151.0
2021-05-16,12947.0,181.0,98.0,596.0,116.0,117.0,88.0
2021-05-17,37992.0,3715.0,169.0,984.0,95.0,495.0,185.0
2021-05-18,32161.0,5924.0,177.0,559.0,268.0,106.0,88.0
2021-05-19,26984.0,1705.0,132.0,532.0,485.0,73.0,1325.0
2021-05-20,19577.0,1308.0,217.0,471.0,159.0,204.0,92.0
2021-05-21,11338.0,372.0,95.0,246.0,41.0,114.0,26.0
2021-05-22,23962.0,1578.0,83.0,248.0,53.0,31.0,25.0
2021-05-23,9871.0,1279.0,49.0,157.0,68.0,45.0,17.0
2021-05-24,23283.0,410.0,265.0,978.0,229.0,107.0,341.0
2021-05-25,27983.0,1855.0,200.0,532.0,397.0,728.0,171.0
2021-05-26,17668.0,433.0,175.0,253.0,105.0,173.0,207.0
2021-05-27,26548.0,586.0,1325.0,326.0,346.0,359.0,262.0
2021-05-28,11459.0,884.0,138.0,264.0,63.0,99.0,178.0
2021-05-29,18459.0,736.0,171.0,121.0,88.0,94.0,28.0
2021-05-30,8796.0,1107.0,60.0,96.0,43.0,147.0,138.0
2021-05-31,28983.0,1779.0,147.0,295.0,153.0,403.0,67.0
2021-06-01,28224.0,3021.0,229.0,473.0,194.0,481.0,224.0
2021-06-02,22950.0,709.0,98.0,310.0,50.0,104.0,94.0
